2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBOFI | rows=83 | columns=10
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBGFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBGFI | rows=29 | columns=8
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CDFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CDFI | rows=136 | columns=22
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=FDI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=FDI | rows=136 | columns=30
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CTFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CTFI | rows=136 | columns=19
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | rows=30 | columns=31
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CSI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CSI | rows=8 | columns=107
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CICFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CICFI | rows=31 | columns=17
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SEAFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SEAFI | rows=30 | columns=5
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | rows=30 | columns=31
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=BRTVI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=BRTVI | rows=8 | columns=13
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=BRCVI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=BRCVI | rows=8 | columns=21
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SRFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SRFI | rows=9 | columns=26
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=TWFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=TWFI | rows=30 | columns=13
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | exchange=SSE | country=China
2026-06-27 18:05:13 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | rows=30 | columns=31
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel wide value loader started | config_path=config/freight_jobs.yaml
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CCFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CCFI | rows=1261 | columns=17
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SCFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SCFI | rows=857 | columns=5
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SCFIS | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=SCFIS | rows=30 | columns=6
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBFI | rows=30 | columns=31
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBCFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBCFI | rows=136 | columns=5
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBOFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBOFI | rows=83 | columns=10
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBGFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CBGFI | rows=29 | columns=8
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CDFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CDFI | rows=136 | columns=22
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=FDI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=FDI | rows=136 | columns=30
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CTFI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CTFI | rows=136 | columns=19
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Loading Excel sheet | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CSI | exchange=SSE | country=China
2026-06-27 18:09:23 | INFO | src.jobs_xlsx.freight.get_freight_index_data | Excel sheet loaded | file=/Users/tommy/Desktop/Pycharm/FinancialData/data/freight/china containerized freight index.xlsx | sheet=CSI | rows=8 | columns=107
